tradingday,stockcode,stockweight
2016-04-06 00:00:00,600403,0.8
2016-04-07 00:00:00,600356,0.8
2016-04-08 00:00:00,002543,0.8
2016-04-11 00:00:00,000005,0.8
2016-04-12 00:00:00,002590,0.8
2016-04-13 00:00:00,600415,0.8
2016-04-14 00:00:00,002487,0.8
2016-04-15 00:00:00,600710,0.8
2016-04-18 00:00:00,000783,0.8
2016-04-19 00:00:00,002215,0.8
2016-04-20 00:00:00,300217,0.8
2016-04-21 00:00:00,002338,0.8
2016-04-22 00:00:00,600491,0.8
2016-04-25 00:00:00,600615,0.8
2016-04-26 00:00:00,002321,0.8
2016-04-27 00:00:00,002121,0.8
2016-04-28 00:00:00,000030,0.8
2016-04-29 00:00:00,600825,0.8
2016-05-03 00:00:00,600577,0.8
2016-05-04 00:00:00,300121,0.8
2016-05-05 00:00:00,600114,0.8
2016-05-06 00:00:00,002466,0.8
2016-05-09 00:00:00,600061,0.8
2016-05-10 00:00:00,300067,0.8
2016-05-11 00:00:00,300159,0.8
2016-05-12 00:00:00,601398,0.8
2016-05-13 00:00:00,300048,0.8
2016-05-16 00:00:00,600354,0.8
2016-05-17 00:00:00,601918,0.8
2016-05-18 00:00:00,002166,0.8
2016-05-19 00:00:00,000729,0.8
2016-05-20 00:00:00,002010,0.8
2016-05-23 00:00:00,600883,0.8
2016-05-24 00:00:00,600505,0.8
2016-05-25 00:00:00,601177,0.8
2016-05-26 00:00:00,600319,0.8
2016-05-27 00:00:00,002250,0.8
2016-05-30 00:00:00,600117,0.8
2016-05-31 00:00:00,601117,0.8
2016-06-01 00:00:00,600491,0.8
2016-06-02 00:00:00,600577,0.8
2016-06-03 00:00:00,600252,0.8
2016-06-06 00:00:00,600461,0.8
2016-06-07 00:00:00,300356,0.8
2016-06-08 00:00:00,000996,0.8
2016-06-13 00:00:00,600088,0.8
2016-06-14 00:00:00,002384,0.8
2016-06-15 00:00:00,600401,0.8
2016-06-16 00:00:00,000566,0.8
2016-06-17 00:00:00,600033,0.8
2016-06-20 00:00:00,600110,0.8
2016-06-21 00:00:00,300362,0.8
2016-06-22 00:00:00,002535,0.8
2016-06-23 00:00:00,002361,0.8
2016-06-24 00:00:00,600416,0.8
2016-06-27 00:00:00,002504,0.8
2016-06-28 00:00:00,600854,0.8
2016-06-29 00:00:00,002186,0.8
2016-06-30 00:00:00,002235,0.8
2016-07-01 00:00:00,600979,0.8
2016-07-04 00:00:00,002360,0.8
2016-07-05 00:00:00,002036,0.8
2016-07-06 00:00:00,002345,0.8
2016-07-07 00:00:00,601599,0.8
2016-07-08 00:00:00,002599,0.8
2016-07-11 00:00:00,600150,0.8
2016-07-12 00:00:00,600716,0.8
2016-07-13 00:00:00,600592,0.8
2016-07-14 00:00:00,002332,0.8
2016-07-15 00:00:00,600459,0.8
2016-07-18 00:00:00,000778,0.8
2016-07-19 00:00:00,002460,0.8
